,Name,Year,Rating,Critic Consensus,Summary
60,The Gold: Season 1,(2023),92,"A glittering cast is worth its weight in Gold, giving this posh caper plenty of compelling glamor to go along with its trenchant class commentary.",
61,Shrinking: Season 1,(2023),91,"Shrinking has darker ideas on its mind than its earnest approach can often translate, but Jason Segel and Harrison Ford's sparkling turns make these characters worth close analysis.",
62,Justified: City Primeval: Season 1,(2023),91,"Timothy Olyphant's quickdraw charm shows no signs of dulling in City Primeval, an introspective and very welcome return for Raylan Givens.",
63,Sex Education: Season 4,(2023),91,"As sweetly empathetic and inclusive as ever, Sex Education's final season serves as a bittersweet -- but largely satisfying -- farewell.",
64,Beckham: Limited Series,(2023),88,"Blessed with an affable and charismatic subject, Beckham's intimate access to one of the world's most renowned athletes makes for a delightful binge.",
65,Welcome to Wrexham: Season 2,(2023),91,"While its marquee stars are plenty welcoming all their own, Wrexham smartly spends its sophomore season focused on the community itself to inspiring effect.",
66,The Fall of the House of Usher: Limited Series,(2023),90,"Presenting vintage Poe stories filtered through Mike Flanagan's deliciously dark lens, The Fall of the House of Usher will get a rise out of horror fans.",
67,Fellow Travelers: Limited Series,(2023),91,"A queer romance with the full breadth and depth of an epic, Fellow Travelers is a moving showcase for Matt Bomer and Jonathan Bailey's captivating on-screen chemistry.",
68,The Clearing: Season 1,(2023),90,"Deriving extra flavor from its Australian setting and Miranda Otto's unsettling performance, The Clearing is an eerie thriller with plenty to recommend.",
69,Everyone Else Burns: Season 1,(2023),90,"A mirthful satire of religious zealotry that hits more than it misses, Everyone Else Burns is an agreeably irreverent sitcom.",
70,Minx: Season 2,(2023),89,"Still getting great mileage from its marriage of the feminist and the frivolous, Minx's second season is smart, sexy, and fun.",
71,Hijack: Season 1,(2023),88,"Largely devoid of storytelling turbulence and benefitting greatly from its real-time pacing, Hijack is a glossy but effective thriller that achieves genuine liftoff.",
72,Silo: Season 1,(2023),88,"With deft writing, awe-inspiring production design and the inestimable star power of Rebecca Ferguson, Silo is a mystery box well worth opening.",
73,A Murder at the End of the World: Limited Series,(2023),88,"founding as it is seductive, Murder at the End of the World is a worthy brain-teaser for fans of Brit Marling and Zal Batmanglij's offbeat storytelling.",
74,Pretty Baby: Brooke Shields: Season 1,(2023),88,"As much an exposé on ugly cultural forces as it is a straightforward presentation of Brooke Shields' life, Pretty Baby is disturbing and triumphant in equal measure.",
75,Harlan Coben's Shelter: Season 1,(2023),88,"arrying off a mature mystery with a light touch, Shelter is an absorbing and spry adaptation of Harlan Coben's work.",
76,A Spy Among Friends: Limited Series,(2022),88,"More cerebral than outright thrilling, A Spy Among Friends is an intelligent tale of espionage elevated by a pair of sterling performances.",
77,Swarm: Season 1,(2023),87,"Swarm can be as unpleasant as a hornet sting, but Dominique Fishback's ferocious performance and the creators' bold creative swings add up to a truly subversive take on toxic fandom.",
78,Good Omens: Season 2,(2023),87,"Boding well for the series' longevity, Good Omens' second season is even more splendid than the first.",
79,Star Wars: Ahsoka: Season 1,(2023),86,"Elevated by Rosario Dawson's strong performance in the title role and a solid story that balances new and old elements of the Star Wars saga, Ahsoka is a must-watch for fans of the franchise.",
80,Futurama: Season 11,(2023),86,Shut up and take our money!,
81,The Muppets Mayhem: Season 1,(2023),86,"The Muppets Mayhem might be too slight to find the Rainbow Connection, but its ragtag band of plucky puppets and plethora of showbiz gags make for a solid addition to the franchise.",
82,The Wheel of Time: Season 2,(2023),86,The Wheel of Time keeps spinning on a steady track in a rousing second season that deepens its characters.,
83,Dead Ringers: Limited Series,(2023),85,"If Dead Ringers doesn't wield as cutting a blade as David Cronenberg's original chiller, it's not a pale imitation either, thanks to Rachel Weisz putting on a clinic in doppelgänger duplicity.",
84,One Piece: Season 1,(2023),85,One Piece captures the essence of its beloved source material with a charmingly big-hearted adaptation that should entertain longtime fans as well as patient newcomers.,
85,The Mandalorian: Season 3,(2023),85,"Mileage may vary by a couple parsecs as The Mandalorian becomes more and more about the connective tissue of broader Star Wars lore, but this remains one of the most engaging adventures in a galaxy far, far away.",
86,The Other Black Girl: Season 1,(2023),85,"A clever spin on the pressures of office culture, The Other Black Girl blends comedy and horror to thrilling effect.",
87,Tiny Beautiful Things: Limited Series,(2023),85,"Tiny Beautiful Things is littered with cumbersome narrative choices, but Kathryn Hahn's soulful performance is one big plus that keeps this adaptation firmly compelling.",
88,The Company You Keep: Season 1,(2023),85,"The Company You Keep gets off to a rocky start in the first few episodes, but the show's appealing cast and entertaining blend of crime and romance will pay off for patient viewers.",
89,Survival of the Thickest: Season 1,(2023),85,"A genial showcase for Michelle Buteau, Survival of the Thickest is equal parts amusing and heartwarming.",
