,Name,Year,Rating,Critic Consensus,Summary
39,Harley Quinn: Season 4,(2023),96,"Having settled into one of DC's most dependably entertaining series, Harley Quinn continues to be funny, quirky, and romantic.",
40,Queen Charlotte: A Bridgerton Story: Season 1,(2023),95,"A resplendent romance between two of the most interesting characters in the Bridgerton saga, Queen Charlotte is a spin-off that arguably perfects the primary series' formula.",
41,Slow Horses: Season 1,(2022),95,"Slow Horses refreshes the espionage genre by letting its band of snoops be bumbling, with Gary Oldman giving a masterclass in frumpy authority.",
42,Party Down: Season 3,(2023),95,"Returning after a long layoff, Party Down brings patient fans a third season that's every bit as sharp -- and laugh-out-loud funny -- as its predecessors.",
43,The Afterparty: Season 2,(2023),95,"The Afterparty welcomes in a mostly new cast and keeps things festive with its enduringly clever Rashomon-style format, stirring up an entertainment that viewers won't want to end.",
44,What We Do in the Shadows: Season 5,(2023),95,"Displaying a comedic longevity that'd make even a vampire blush, What We Do in the Shadows enters its fifth season showing no signs of getting long in the fang.",
45,Best Interests: Season 1,(2023),95,"Sharon Horgan and Michael Sheen turn in some of their best work yet in Best Intentions, a frank depiction of any parent's worst nightmare that is equal parts graceful and harrowing.",
46,Starstruck: Season 3,(2023),95,"Shining bright and casting a warm glow over viewers, Starstruck continues to be masterful comfort television in this sweet third season.",
47,The Traitors: Season 1,(2023),95,"Hosted by Alan Cumming with theatrical relish, The Traitors deploys a rogues' gallery of reality television stars to make for a compelling murder mystery party.",
48,Transatlantic: Season 1,(2023),95,"Ably dramatizing a deadly serious chapter of World War II history while also remembering to have fun, Transatlantic is a visually sumptuous throwback to classic Hollywood melodramas.",
49,Stonehouse: Season 1,(2023),95,Stonehouse reenacts one of Britain's most ridiculous spy games with wry flair while star Matthew Macfadyen puts on a masterclass of fecklessness.,
50,Yellowjackets: Season 2,(2023),93,"Having already made a startling first impression, Yellowjackets coils itself in a second season preparing for the long haul -- thankfully, its superb performances and mesmeric ambience are fine substitutes for fast answers.",
51,The Curse: Season 1,(2023),94,"A wickedly uncomfortable marriage of sensibilities between Nathan Fielder and Benny Safdie, with a masterful Emma Stone tying everything together, The Curse will make viewers cackle and squirm in equal measure.",
52,American Born Chinese: Season 1,(2023),94,"Jam-packed with inventive flourishes and grounded by lovable actors, American Born Chinese musters epic elements from Chinese mythology to tell a deeply relatable coming of age story.",
53,Platonic: Season 1,(2023),93,"Even with bold swings and romance off the table, the rambunctious rapport between Rose Byrne and Seth Rogen makes Platonic an ideal relationship comedy.",
54,Lucky Hank: Season 1,(2023),93,"With the fortune of Bob Odenkirk in its favor, Lucky Hank makes ennui essential viewing with a comedy rooted in relatable human behavior.",
55,Rain Dogs: Season 1,(2023),93,"Authentically brutal with pinpricks of humor that's all the more true to life, Rain Dogs is a bracing story of toil that proves to be immensely rewarding.",
56,The Gilded Age: Season 2,(2023),94,"More topical than before while also owning its frivolous appeal with unapologetic splendor, Julian Fellowes' operatic soap enters its own halcyon age.",
57,You: Season 4,(2023),92,"The hunter becomes prey in You's London-set fourth season, which shows some wear as this premise begins to outlive its believability -- but Penn Badgley's sardonic performance continues to paper over most lapses in logic.",
58,Mrs. Davis: Season 1,(2023),92,"Positively bonkers while undergirded by an intelligent design, Mrs. Davis makes Betty Gilpin a hero for modern times in a highly imaginative mixture of spirituality and technology.",
59,The Big Door Prize: Season 1,(2023),92,"Turning a high concept into a grounded good time, The Big Door Prize realizes its full potential thanks to a lovable cast of relatable characters.",
