,Name,Year,Maturity Rating,Duration,Rating,Metacritic Score,Genre,Summary
63,Toy Story 3,(2010),G,103 min,8.3,"66        
        Metascore","Animation, Adventure, Comedy","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
64,Undisputed 3: Redemption,(2010 Video),R,96 min,7.3,"63        
        Metascore","Action, Crime, Drama","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
65,Kick-Ass,(2010),R,117 min,7.6,"57        
        Metascore","Action, Comedy, Crime",Boyka is back. This time he is fighting in the first ever inter-prison tournament with one knee.
66,Shutter Island,(2010),R,138 min,8.2,"58        
        Metascore","Mystery, Thriller","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
67,Sherlock Holmes,(2009),PG-13,128 min,7.6,"53        
        Metascore","Action, Adventure, Mystery","Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
68,Brothers,(I) (2009),R,105 min,7.1,"34        
        Metascore","Drama, Thriller, War",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
69,The Blind Side,(2009),PG-13,129 min,7.6,"73        
        Metascore","Biography, Drama, Sport","While on tour in Afghanistan, Sam's helicopter is shot down and he is presumed dead. Back home, it is his screw-up brother who looks after the family. Sam does return, but with a lot of excess baggage."
70,Law Abiding Citizen,(2009),R,109 min,7.4,"69        
        Metascore","Action, Crime, Drama","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
71,The Hangover,(2009),R,100 min,7.7,"58        
        Metascore",Comedy,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.
72,Inglourious Basterds,(2009),R,153 min,8.4,"70        
        Metascore","Adventure, Drama, War","Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
73,Defiance,(I) (2008),R,137 min,7.1,"72        
        Metascore","Action, Drama, History","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
74,The Curious Case of Benjamin Button,(2008),PG-13,166 min,7.8,"95        
        Metascore","Drama, Fantasy, Romance","Jewish brothers in German-occupied Eastern Europe escape into a Belorussian forest, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants."
75,Gran Torino,(2008),R,116 min,8.1,"84        
        Metascore",Drama,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
76,The Hurt Locker,(2008),R,131 min,7.5,"84        
        Metascore","Drama, Thriller, War","After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
77,Slumdog Millionaire,(2008),R,120 min,8,"63        
        Metascore","Crime, Drama, Romance","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work."
78,The Dark Knight,(2008),PG-13,152 min,9,"79        
        Metascore","Action, Crime, Drama","A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers."
79,Changeling,(2008),R,141 min,7.8,"55        
        Metascore","Biography, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
80,Iron Man,(2008),PG-13,126 min,7.9,"48        
        Metascore","Action, Adventure, Sci-Fi","After Christine's son goes missing, she reaches out to the LAPD to find him. But when they try to pass off an impostor as her son to quieten public protests, she refuses to accept him or give up hope."
81,Street Kings,(2008),R,109 min,6.8,"39        
        Metascore","Action, Crime, Thriller","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
82,21,(2008),PG-13,123 min,6.8,"69        
        Metascore","Crime, Drama, Thriller","An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself."
83,Never Back Down,(2008),PG-13,113 min,6.5,"51        
        Metascore","Action, Drama, Sport","Inspired by real events and people, 21 is about six MIT students who become trained to be experts in card counting in Black Jack and subsequently took Vegas casinos for millions in winnings."
84,The Bank Job,(2008),R,111 min,7.2,"65        
        Metascore","Crime, Drama, Thriller","A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club, and meets a classmate who begins to coerce him into fighting."
85,Taken,(I) (2008),PG-13,90 min,7.7,"76        
        Metascore","Action, Crime, Thriller",Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of dirty secrets.
86,I Am Legend,(2007),PG-13,101 min,7.2,"73        
        Metascore","Action, Drama, Horror","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
87,American Gangster,(2007),R,157 min,7.8,"85        
        Metascore","Biography, Crime, Drama","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
88,Into the Wild,(2007),R,148 min,8.1,"69        
        Metascore","Adventure, Biography, Drama","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
89,The Bourne Ultimatum,(2007),PG-13,115 min,8,"53        
        Metascore","Action, Mystery, Thriller","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
90,Live Free or Die Hard,(2007),PG-13,128 min,7.1,"79        
        Metascore","Action, Thriller",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
91,Shooter,(I) (2007),R,124 min,7.1,"64        
        Metascore","Action, Drama, Thriller",John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.
92,Zodiac,(2007),R,157 min,7.7,"52        
        Metascore","Crime, Drama, Mystery","A marksman living in exile is coaxed back into action after hearing of a plot to kill the President. After being-double crossed for the attempt and on the run, he sets out for the real killer and the truth."
93,The Pursuit of Happyness,(2006),PG-13,117 min,8,"64        
        Metascore","Biography, Drama","Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
94,300,(2006),R,117 min,7.6,"80        
        Metascore","Action, Drama",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career
95,Blood Diamond,(2006),R,143 min,8,"66        
        Metascore","Adventure, Drama, Thriller","In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army. They face insurmountable odds when they are betrayed by a Spartan reject."
96,Casino Royale,(2006),PG-13,144 min,8,"53        
        Metascore","Action, Adventure, Thriller","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
97,The Prestige,(2006),PG-13,130 min,8.5,"85        
        Metascore","Drama, Mystery, Sci-Fi","After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
98,The Guardian,(I) (2006),PG-13,139 min,6.9,,"Action, Adventure, Drama","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
99,The Departed,(2006),R,151 min,8.5,,"Crime, Drama, Thriller","A high school swim champion with a troubled past enrolls in the U.S. Coast Guard's ""A"" School, where legendary rescue swimmer Ben Randall teaches him some hard lessons about loss, love, and self-sacrifice."
100,,,,,,,,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
